title,price,link,condition,shipping,location,offer_type,review_rating,review_count
"6x12 cnc machine wood Cybertec flatbed 3 head with air dryer, compressor, dust c","$22,500.00",https://www.ebay.com/itm/156673640832?_skw=cnc+machine&itmmeta=01K2KQF2ZGE2JTAXNJH4HYKQK3&hash=item247a7a0980:g:rVQAAOSwmelnosxN&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fQqIYbU4uRfBv71l%2B%2B%2B1E7O6cfa%2B9edlPtAoY2XdHkhxwrioJY8KCwqXVH0P1GHEkA0b04D2%2BR12E%2F0AeRfSTBC18zee8y%2F%2BYHohx9kr38k9GpJbygcIrduUpB1f%2Btz5SDjnIkmg2uINbxEQJ62q%2FbxOB0zzDMI69UaGY6ilQvdJDVlk2JEHmyLesf24pAqx2mX%2BN4db3MQEx69%2FzZVJF8uXI4RHsRKBQOonNsbbyRfQ%3D%3D%7Ctkp%3ABlBMUKywvPeUZg,Pre-Owned,0,Located in United States,or Best Offer,0,0
"Used Freedom 10 3-axis 5' X 10' moving gantry CNC router, new 2022","$81,500.00",https://www.ebay.com/itm/388411010756?_skw=cnc+machine&itmmeta=01K2KQF2ZHER6M40ATFK209Y43&hash=item5a6f19aec4:g:uwoAAOSwJixoI4Qs&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1e5QACtUj9UNPeOrtVCac3alxv%2FQVlwtOPIeqkf3Lp9XvnwbEA2vnv%2B7wyxclbl9McvnrKFi0NS9ZmvOcToCn23YNCiFNrG3FLeyK4P%2BzD0Dd2k2BRkEFak2alRWzMSQ4YnqJZbh24f%2Bkuh0LgOjhwjXMQAx2NPycFqZwVsFglZ%2FFpv4K6HJJ10JrONF840%2FDIJiex9FOiOC4VVsd6ZmcEJ5JhBzSa06KMOu0J%2FnHPIyQ%3D%3D%7Ctkp%3ABlBMUKywvPeUZg,Pre-Owned,0,Located in United States,or Best Offer,0,0
Volstro CAT40 CNC Machine Right Angle Head R1429 Tooling,$764.99,https://www.ebay.com/itm/146666011210?_skw=cnc+machine&itmmeta=01K2KQF2ZHAYZKFSFCD1S32BZS&hash=item2225f9ba4a:g:sZUAAeSwp8ZoWBvC&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1evuz5bWG3WwApfbtbrX8NjCnjQ6bTRkW7MZ8DCldkjDBoUAD1d7Jp0uN%2FUMVJM%2FRDMx2hrGFBv85QR1%2Fo6pjNsiuFK98O%2F2R3RGtNhzGaSqszdj%2FWf6TSekpTYFhOw0rrbZYVkCyw%2BRj9jn3xcxyiwifyhwc%2Fz0g3Q%2FwLrPFXAcjTMeg2WyGrr6TWzxVCujUYZvX60P1O7Bwi%2B4394XB09GYqudkCHUiz4SQA9EkkyZg%3D%3D%7Ctkp%3ABlBMUKywvPeUZg,Pre-Owned,248.14,Located in United States,N/A,0,0
『USA』3018-PRO CNC Router Milling Cutting Carving Engraver Machine+Limit switches,$136.00,https://www.ebay.com/itm/115427946564?_skw=cnc+machine&itmmeta=01K2KQF2ZHYXP90D0AK2HQDZWV&hash=item1ae00ab044:g:o98AAOSwrHViqu2l&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1dzRHSgZCbUbzEKT888ZlopMjSo3jQEpFXSsOH%2FpY5F8UqNkRI1QfHGPHf7U%2FUVL91MwGE6SP9bA5j9bPMjArrcGU3%2FN6aVDn5yGQHX865%2F38qVVzpILTcrOFWGP0KAckvQKfzVQJMbfERVs3TlSwmq5XCBeFeKCnAjhvzXANpTBUKn7koXJA8L%2FQWSfSqNkBdS6rKno2lF6To6X0kdlbZFfVvB%2BUKFX81pVWcdOWi3oFRedQhB%2F85%2B04kIT0xA8K0%3D%7Ctkp%3ABk9SR6ywvPeUZg,Brand New,110.15,Located in United States,N/A,0,0
Genmitsu CNC Router DIY Machine PROVerXL 4030 3 Axis Milling Cutting Engraving,N/A,https://www.ebay.com/itm/167577724173?_skw=cnc+machine&itmmeta=01K2KQF2ZHMN7F8KGYM6HV1CCY&hash=item270469250d:g:mxsAAOSwwDhnWgry&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1c0iF%2F1fCRwq1GXqAMq5RPga3zCaJGpPfYIDydpxVWnp1iIyxsjYXJtRexacKXHY0coTXuHakBRuicKRAs6OLRoWUfxBhvROBF4zuiqTSZxIGPmGVyMaL0HNfN9korhQY8fhVRj41Jh4mcABqdHuBiup27R5iFnO8MotU3vUTNWGWFTJ5XA0%2Bugwrh8150AIAFY3ow%2Bi23PtP%2BQ0FU2RWzKy4usayaXWmd3Nnq6%2Fv8cIpWI7EYVYzr1nHKwNSVAkmM%3D%7Ctkp%3ABk9SR6ywvPeUZg,Brand New,0,N/A,or Best Offer,0,0
New Listing TWOTREES Module Kit 4th Axis CNC For TTC450 Engraving Machine YUKU,$208.56,https://www.ebay.com/itm/136314482490?_skw=cnc+machine&itmmeta=01K2KQF2ZHWREBXKTWCXPKVXJ9&hash=item1fbcf9ef3a:g:wdAAAeSwH4BonY0d&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1eFZfac3haUP4EhVIdqWgkgMAKyN%2F0aVl1lwA%2FRCuMDzdAL5VraphEzdUY7dDWCnvfCToc%2BvSYPhsDQHeO%2Fv5V1XIPb8dPhRJBcRjmCfg%2BItObHWJrE3gpGqcCOoYpWnHJFGCsQQ70Txoqzjkx83%2BuOZBlxaylh%2FRvwHLNKK84WeU%2FaATdwMQx3a0GOoGUIUG2O0EVBPrZMXwMTrmpUhz5WsQXWYIFLXo4fdntLHaSEH4FJEk%2BU1b7ByITwoz8PLR4i%2FOesqLe2sOPUAuBxK9bbLzsBoPsUm0uhzL8fNZfiJQ%3D%3D%7Ctkp%3ABk9SR6ywvPeUZg,Brand New,0,Located in China,or Best Offer,0,0
New Listing Mini CNC 3018-SE V2 Router Machine Engraver with Transparent Enclosure w/Spindle,$177.54,https://www.ebay.com/itm/127307725509?_skw=cnc+machine&itmmeta=01K2KQF2ZH74QXMQW0EHK8YX9W&hash=item1da421bac5:g:gnoAAOSwUrNiZUYN&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1enYJgWVYID6PmGQeUXi4wJE2ogF70Bn4r9amfLJHSHsuawXxx2su2gisKBUbNa7nYlmUipqoJ0bKhCXoyIrddlwDPgC1DjTdY7siwvMSmhqJobLK6yKngRxK3AnAo67fZOtunpJkVha%2F%2B8Wi%2FgUCSZ8F2ufXA5NoaIAJyP%2B7un2T5qWyU43Hg2GIiB%2FJJcO5NyS0fIcjr4YeLqk5x%2BzH0JQM1qXMVDu%2BQ5ttes3aGhjlYo9rd0u%2BtDgNwnaysGrocDZG%2Fnt%2F2eE2PsKiY0G%2FsX3zM%2BVUKUb5t%2BLjgHKAjFTw%3D%3D%7Ctkp%3ABk9SR6ywvPeUZg,Brand New,230.81,Located in United States,N/A,0,0
CNC 3018 PRO MAX CNC Machine 500W All-Metal CNC Router Machine CNC Router,$299.98,https://www.ebay.com/itm/234460939453?_skw=cnc+machine&itmmeta=01K2KQF2ZHJ4SF66P3V03N7044&hash=item3696f604bd:g:cmIAAOSw-vZlDSlA&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1fThNUvalolk%2Fn8pkw52TZyVueEXjeIzwq2KQKcqYYJ7EgdlOM63EesMLlx%2FUrl0fPK%2BsEnebd6hVB8DIPA48xoUGYEzWtkrFs7c78LLrr4FJLuRkyM0MGcKER6LsC2%2Bp7PLjwNBqeiyAnZwqNt4RHCpHXRxdQ9qH7s7RybSB4FZV%2Fe24XceU6d8XQznAXZmwq6G8gkhu%2F0lQn%2FF%2BfCeR9eZ01aMMsXkiHsMX9jVTiXtmd6dvWTyknNV5Ovf%2BWSuJQGLzYcAJbYtozD8ZQeFA6KiHNcACDQ3lobsNz6OrA7rA%3D%3D%7Ctkp%3ABk9SR6ywvPeUZg,Brand New,234.42,Located in United States,N/A,0,0
『in US』Upgraded 3018-PRO CNC Router Engraving Laser Machine Milling Cutting Wood,$127.00,https://www.ebay.com/itm/277231128634?_skw=cnc+machine&itmmeta=01K2KQF2ZHMJAQGP68MVQ9SVBN&hash=item408c43503a:g:J-AAAOSwqyRhHiGQ&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1cU5oq0SQLhVo3dx90rg98wLnW9JD2kKZ0i6Pn6Apgp2zZOWAGZ7Gxb8vrZEwhFmft3r9tNv6r7X1d1oozCvaRAs7ZKQRtNRGPJYfNyGkUx53VWBcp6FqIlhTrxdpWQI1spvpfYSG6OCBiUYv%2FAZgdmMRUWAJHWhUD0Wa98w8GMadeBQEHrzj3c%2BZConorG2cU3umdj50OBO972YajZgHw7Hc5pIIVkKGG0%2Blce0KOwWEwBjBIl3yJrSs6bYsFdsXJYiw7ehIj6MPZa6qEPt0THCvebzeSmC053LktfV1AXDg%3D%3D%7Ctkp%3ABk9SR6ywvPeUZg,Brand New,109.88,Located in United States,N/A,0,0
New Listing USB 3 Axis CNC 4040 Router Engraving Machine Engraver Milling Machine GRBL 500W,$331.29,https://www.ebay.com/itm/127307504310?_skw=cnc+machine&itmmeta=01K2KQF2ZHX9J2SDKT32AB4FBP&hash=item1da41e5ab6:g:WwcAAOSwirBoALFm&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1egC5Haz9NToQSHp329EZYatstPX7%2FvFcI9ilmOwRcv7AouRsFa9shKjjI6usf3qi6krryZtLVT8vHaHCTPNOqZL3q76yytroug2QTt4Ufy8nrnUEJgvnvnEz758ko4rdfd64v4HvyKzDFNj7mO1p1cry5rjyjytTibASInhK3xDJjjNotzOaUXuYCRu%2FajedjG4qGHOUsmWXJnzOtZNcemAneoSQaS%2B8HaNpaAic2LKoQ6rt8oXcL0Gpp0s4rb39zWrD07JmK7SIVmJDXXoQgthGKnwrwg8W1sS9%2BSwOLkQw%3D%3D%7Ctkp%3ABk9SR6ywvPeUZg,Brand New,235.34,Located in United States,N/A,0,0
